old_url,new_url,page_type,category,reason,redirect_required,notes,source_audit_row
https://www.standardautomation.in/,/,home,,Homepage,Yes,,https://www.standardautomation.in/
http://www.standardautomation.in/,/,home (protocol/www duplicate),,Duplicate of https://www.standardautomation.in/ on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/
http://www.standardautomation.in/index.html,/,home (protocol/www duplicate),,Duplicate of https://www.standardautomation.in/ on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/index.html
https://www.standardautomation.in/index.html,/,home (protocol/www duplicate),,Duplicate of https://www.standardautomation.in/ on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",https://www.standardautomation.in/index.html
https://www.standardautomation.in/about-us.html,/about-us/,info,,Preserve existing informational URL,Yes,,https://www.standardautomation.in/about-us.html
http://www.standardautomation.in/about-us.html,/about-us/,info (protocol/www duplicate),,Duplicate of https://www.standardautomation.in/about-us.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/about-us.html
https://www.standardautomation.in/rolling-shutters.html,/products/rolling-shutters/,category,Rolling Shutters,Category landing page under new /products/ path,Yes,,https://www.standardautomation.in/rolling-shutters.html
http://www.standardautomation.in/rolling-shutters.html,/products/rolling-shutters/,category (protocol/www duplicate),Rolling Shutters,Duplicate of https://www.standardautomation.in/rolling-shutters.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/rolling-shutters.html
https://www.standardautomation.in/m-s-rolling-shutters.html,/products/rolling-shutters/m-s-rolling-shutters/,product,Rolling Shutters,Product detail page under its category,Yes,,https://www.standardautomation.in/m-s-rolling-shutters.html
http://www.standardautomation.in/m-s-rolling-shutters.html,/products/rolling-shutters/m-s-rolling-shutters/,product (protocol/www duplicate),Rolling Shutters,Duplicate of https://www.standardautomation.in/m-s-rolling-shutters.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/m-s-rolling-shutters.html
http://www.standardautomation.in/aluminium-rolling-shutters.html,/products/rolling-shutters/aluminium-rolling-shutters/,product,Rolling Shutters,Product detail page under its category,Yes,PROVISIONAL — likely a duplicate of fire-proof-shutters.html (near-identical H1/title); see FINAL-IA.md §3. Redirect target pending business confirmation of which URL is canonical.,http://www.standardautomation.in/aluminium-rolling-shutters.html
https://www.standardautomation.in/g-i-rolling-shutters.html,/products/rolling-shutters/g-i-rolling-shutters/,product,Rolling Shutters,Product detail page under its category,Yes,,https://www.standardautomation.in/g-i-rolling-shutters.html
http://www.standardautomation.in/g-i-rolling-shutters.html,/products/rolling-shutters/g-i-rolling-shutters/,product (protocol/www duplicate),Rolling Shutters,Duplicate of https://www.standardautomation.in/g-i-rolling-shutters.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/g-i-rolling-shutters.html
http://www.standardautomation.in/fire-proof-rolling-shutters.html,/products/rolling-shutters/fire-proof-rolling-shutters/,product,Rolling Shutters,Product detail page under its category,Yes,PROVISIONAL — likely a duplicate of aluminium-single-wall.html (near-identical H1/title); see FINAL-IA.md §3. Redirect target pending business confirmation of which URL is canonical.,http://www.standardautomation.in/fire-proof-rolling-shutters.html
https://www.standardautomation.in/polycarbonate-rolling-shutters.html,/products/rolling-shutters/polycarbonate-rolling-shutters/,product,Rolling Shutters,Product detail page under its category,Yes,,https://www.standardautomation.in/polycarbonate-rolling-shutters.html
http://www.standardautomation.in/polycarbonate-rolling-shutters.html,/products/rolling-shutters/polycarbonate-rolling-shutters/,product (protocol/www duplicate),Rolling Shutters,Duplicate of https://www.standardautomation.in/polycarbonate-rolling-shutters.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/polycarbonate-rolling-shutters.html
https://www.standardautomation.in/automatic-gates.html,/products/gates/,category,Gates,Category landing page under new /products/ path,Yes,,https://www.standardautomation.in/automatic-gates.html
http://www.standardautomation.in/automatic-gates.html,/products/gates/,category (protocol/www duplicate),Gates,Duplicate of https://www.standardautomation.in/automatic-gates.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/automatic-gates.html
https://www.standardautomation.in/sliding-gate.html,/products/gates/sliding-gate/,product,Gates,Product detail page under its category,Yes,,https://www.standardautomation.in/sliding-gate.html
http://www.standardautomation.in/sliding-gate.html,/products/gates/sliding-gate/,product (protocol/www duplicate),Gates,Duplicate of https://www.standardautomation.in/sliding-gate.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/sliding-gate.html
https://www.standardautomation.in/swing-gate.html,/products/gates/swing-gate/,product,Gates,Product detail page under its category,Yes,,https://www.standardautomation.in/swing-gate.html
http://www.standardautomation.in/swing-gate.html,/products/gates/swing-gate/,product (protocol/www duplicate),Gates,Duplicate of https://www.standardautomation.in/swing-gate.html on a different protocol/host,Yes,"Collapse via sitewide https://www. redirect rule, see SEO-IMPLEMENTATION-PLAN.md §7",http://www.standardautomation.in/swing-gate.html
https://www.standardautomation.in/telescoping-gate.html,/products/gates/telescoping-gate/,product,Gates,Product detail page under its category,Yes,,https://www.standardautomation.in/telescoping-gate.html
