"product_id","product","family","variant_id","group","field","unit","guidance","value"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Dimensions","Maximum clear width","mm","Clear opening between finished reveals.","Up to 9 m wide"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Dimensions","Maximum clear height","mm","","8000 mm"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Dimensions","Minimum headroom required","mm","Space above the opening for the barrel, stack or track.","Set by the lift configuration; confirmed at survey *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Dimensions","Minimum side room required","mm","Per side, for guides and drive.","Confirmed at survey against the track and drive *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Dimensions","Lift configuration","","Standard, high, vertical or low headroom — set by the building.","Standard, high, vertical or low-headroom lift, set by the building"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Construction","Panel material","","","Aluminium or galvanized steel, PUF insulated"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Construction","Panel thickness","mm","","40 mm to 50 mm"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Construction","Panel height","mm","","300 mm"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Construction","Insulation core","","","Polyurethane foam (PUF)"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Construction","Finish and colour","","","White or customised"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Construction","Glazing and vision panels","","","Optional vision panels; wicket door with transparent window"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Construction","Track and hardware","","","Steel"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Construction","Counterbalance","","","Torsion springs with wire-rope lifting cables"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Construction","Perimeter sealing","","","Perimeter seals around the leaf"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Declared performance","Wind load resistance","class","EN 12424.","EN 12424"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Declared performance","Water tightness","class","EN 12425.","Certification dependent — published against the certificate for the tested door *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Declared performance","Air permeability","class","EN 12426.","Certification dependent — published against the certificate for the tested door *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Declared performance","Thermal transmittance (U)","W/m²K","EN 12428, for the complete door.","Certification dependent — published against the certificate for the tested door *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Declared performance","Airborne sound reduction","dB","","Certification dependent — published against the certificate for the tested door *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Drive","Operator type","","","Electric or manual"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Drive","Rated motor power","kW","","0.75 / 1.1 / 1.5 kW, sized to the leaf"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Drive","Supply voltage","V / phase / Hz","","380 V or 220 V, 50 Hz"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Drive","Duty rating","cycles per hour or %ED","Duty, not torque, is what usually limits an operator.","Operator sized to the duty at order *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Drive","Manual override","","","Manual operation available"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Control","Control system","","","PLC with inverter and encoder"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Control","Activation devices","","","Key switch, radio remote control, rocker switch"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Control","Travel limit setting","","","Electronic (encoder)"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Control","Interfaces","","Access control, traffic lights, alarm panel, interlocks.","Wicket door interlock; other interfaces configuration dependent *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Safety","Spring-break device","","","Arrests the spring axis and cable if a spring fails"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Safety","Anti-fall device","","","Arrests the leaf if a lifting cable breaks"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Safety","Obstruction detection","","","Configuration dependent, per the operator selected *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Safety","Finger-trap protection","","","Per the panel profile supplied *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Safety","Operating force limitation","","EN 12453.","Certification dependent (EN 12453) *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Safety","Manual release","","","Configuration dependent, per the operator selected *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Compliance","Product standard","","EN 13241 applies to industrial and garage doors in this market.","Certification dependent (EN 13241 field list) *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Compliance","Conformity marking","","","Certification dependent *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Compliance","Certificate reference","","Required before any rating is published.","Issued with the tested door; certification dependent *"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Additional published data","Type code","","Published for this line but outside the standard field list.","SD40, SD50"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Additional published data","Finish options","","Published for this line but outside the standard field list.","Powder coated or plastisol coated to any RAL colour"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","","Additional published data","Options","","Published for this line but outside the standard field list.","Wicket access door, vision panels"
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","standard-lift","Variant — Standard lift","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","standard-lift","Variant — Standard lift","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","standard-lift","Variant — Standard lift","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","high-lift","Variant — High lift","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","high-lift","Variant — High lift","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","high-lift","Variant — High lift","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","vertical-lift","Variant — Vertical lift","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","vertical-lift","Variant — Vertical lift","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","vertical-lift","Variant — Vertical lift","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","low-headroom","Variant — Low headroom","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","low-headroom","Variant — Low headroom","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","low-headroom","Variant — Low headroom","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","glazed-vision","Variant — Glazed vision panels","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","glazed-vision","Variant — Glazed vision panels","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","glazed-vision","Variant — Glazed vision panels","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","wicket-door","Variant — Wicket access door","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","wicket-door","Variant — Wicket access door","","","Only fill this in where the configuration changes the figure.",""
"industrial-sectional-overhead-doors","Industrial Sectional Overhead Doors","Industrial Doors","wicket-door","Variant — Wicket access door","","","Only fill this in where the configuration changes the figure.",""
"aluminium-garage-doors","Aluminium Garage Doors","Industrial Doors","","Dimensions","Maximum clear width","mm","Clear opening between finished reveals.","Made to the opening; confirmed at survey *"
