old_url,new_url,page_type,reason,redirect_required,notes
https://www.standardautomation.in/,/,home,"Homepage, keep at root",Yes,
http://www.standardautomation.in/,/,home (protocol/www duplicate),Duplicate of https://www.standardautomation.in/ served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
http://www.standardautomation.in/index.html,/,home (protocol/www duplicate),Duplicate of https://www.standardautomation.in/ served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/index.html,/,home (protocol/www duplicate),Duplicate of https://www.standardautomation.in/ served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/about-us.html,/about-us/,info,"Preserve existing informational URL, add trailing slash for consistency",Yes,
http://www.standardautomation.in/about-us.html,/about-us/,info (protocol/www duplicate),Duplicate of https://www.standardautomation.in/about-us.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/rolling-shutters.html,/products/rolling-shutters/,category,"Category landing page, grouped under new /products/ path per proposed IA",Yes,
http://www.standardautomation.in/rolling-shutters.html,/products/rolling-shutters/,category (protocol/www duplicate),Duplicate of https://www.standardautomation.in/rolling-shutters.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/m-s-rolling-shutters.html,/products/rolling-shutters/m-s-rolling-shutters/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/m-s-rolling-shutters.html,/products/rolling-shutters/m-s-rolling-shutters/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/m-s-rolling-shutters.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
http://www.standardautomation.in/aluminium-rolling-shutters.html,/products/other/aluminium-rolling-shutters/,orphaned-unclassified,Live page not present in current nav or sitemap; needs a home in the new IA,Yes,Confirm correct category with business (see proposed-information-architecture.md) before finalizing slug/parent.
https://www.standardautomation.in/g-i-rolling-shutters.html,/products/rolling-shutters/g-i-rolling-shutters/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/g-i-rolling-shutters.html,/products/rolling-shutters/g-i-rolling-shutters/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/g-i-rolling-shutters.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
http://www.standardautomation.in/fire-proof-rolling-shutters.html,/products/other/fire-proof-rolling-shutters/,orphaned-unclassified,Live page not present in current nav or sitemap; needs a home in the new IA,Yes,Confirm correct category with business (see proposed-information-architecture.md) before finalizing slug/parent.
https://www.standardautomation.in/polycarbonate-rolling-shutters.html,/products/rolling-shutters/polycarbonate-rolling-shutters/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/polycarbonate-rolling-shutters.html,/products/rolling-shutters/polycarbonate-rolling-shutters/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/polycarbonate-rolling-shutters.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/automatic-gates.html,/products/gates/,category,"Category landing page, grouped under new /products/ path per proposed IA",Yes,
http://www.standardautomation.in/automatic-gates.html,/products/gates/,category (protocol/www duplicate),Duplicate of https://www.standardautomation.in/automatic-gates.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/sliding-gate.html,/products/gates/sliding-gate/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/sliding-gate.html,/products/gates/sliding-gate/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/sliding-gate.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/swing-gate.html,/products/gates/swing-gate/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/swing-gate.html,/products/gates/swing-gate/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/swing-gate.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/telescoping-gate.html,/products/gates/telescoping-gate/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/telescoping-gate.html,/products/gates/telescoping-gate/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/telescoping-gate.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/retractable-gates.html,/products/gates/retractable-gates/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/retractable-gates.html,/products/gates/retractable-gates/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/retractable-gates.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/automatic-doors.html,/products/doors/,category,"Category landing page, grouped under new /products/ path per proposed IA",Yes,
http://www.standardautomation.in/automatic-doors.html,/products/doors/,category (protocol/www duplicate),Duplicate of https://www.standardautomation.in/automatic-doors.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/high-speed-door.html,/products/doors/high-speed-door/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/high-speed-door.html,/products/doors/high-speed-door/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/high-speed-door.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/overhead-sectional-doors.html,/products/doors/overhead-sectional-doors/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/overhead-sectional-doors.html,/products/doors/overhead-sectional-doors/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/overhead-sectional-doors.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/fire-sliding-door.html,/products/doors/fire-sliding-door/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/fire-sliding-door.html,/products/doors/fire-sliding-door/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/fire-sliding-door.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/garage-door.html,/products/doors/garage-door/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/garage-door.html,/products/doors/garage-door/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/garage-door.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/residential-garage-door.html,/products/doors/residential-garage-door/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/residential-garage-door.html,/products/doors/residential-garage-door/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/residential-garage-door.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/sectional-door.html,/products/doors/sectional-door/,product,"Product detail page, nested under its category per proposed IA",Yes,
http://www.standardautomation.in/sectional-door.html,/products/doors/sectional-door/,product (protocol/www duplicate),Duplicate of https://www.standardautomation.in/sectional-door.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/high-speed-roll-up.html,/products/high-speed-doors/,category,"Category landing page, grouped under new /products/ path per proposed IA",Yes,
http://www.standardautomation.in/high-speed-roll-up.html,/products/high-speed-doors/,category (protocol/www duplicate),Duplicate of https://www.standardautomation.in/high-speed-roll-up.html served on a different protocol/host with no existing redirect,Yes,Collapse into single canonical https://www. redirect target — see seo-audit.md §1.1
https://www.standardautomation.in/high-speed-roll-up-door.html,/products/high-speed-doors/high-speed-roll-up-door/,product,"Product detail page, nested under its category per proposed IA",Yes,
